Lesson 10 Vocabulary

ⲕⲱⲧ					to build, erect (ⲙ̄ⲙⲟ⸗).
ⲛⲁⲩ					to see, look at (ⲉ).
ⲥⲱⲧⲙ̄				to hear, listen to (ⲉ); to obey (ⲛⲁ⸗, ⲛ̄ⲥⲁ)
ϣⲓⲛⲉ					to seek, look for inquire after (ⲛ̄ⲥⲁ); to visit (ⲉ); to greet (ⲉ).
ϭⲓⲛⲉ					to find (ⲙ̄ⲙⲟ⸗).
ϯ					to give (ⲙ̄ⲙⲟ⸗); to entrust (ⲙ̄ⲙⲟ⸗; to: ⲉⲧⲛ̄); to fight with; to sell (to: ⲉ, ⲛⲁ⸗).
ϫⲓ					to take, receive (ⲙ̄ⲙⲟ⸗).
ϥⲓ					to lift up, take, bear, carry (ⲙ̄ⲙⲟ⸗); ϥⲓ ⲙⲛ̄ to agree with; ϥⲓ ϩⲁ to bear, tolerate.
ⲧⲉϣⲧⲏⲛ				garment, tunic.
ⲧϩⲟⲉⲓⲧⲉ ⲡϩⲟⲉⲓⲧⲉ		garment, cloak.
ⲡⲉϩⲣⲟⲟⲩ				sound, voice.
ⲛ̄ⲧⲛ̄ (ⲛ̄ⲧⲟⲟⲧ⸗)		from; used in a wide variety of expressions, but very frequently with verbs of receiving, accepting, hearing. The separative notion lies in the verbal idiom; thus, with other verbs it has the sense of (being) near, by, with, in the hand of.
ⲉⲧⲛ̄ (ⲉⲧⲟⲟⲧ⸗)		to; used frequently with verbs of entrusting, giving, handing over, transmitting.
